date,country,iso3,cases,hovertext
2020-01-22,Afghanistan,AFG,0,Afghanistan:0
2020-01-22,Albania,ALB,0,Albania:0
2020-01-22,Algeria,DZA,0,Algeria:0
2020-01-22,Andorra,AND,0,Andorra:0
2020-01-22,Angola,AGO,0,Angola:0
2020-01-22,Antigua and Barbuda,ATG,0,Antigua and Barbuda:0
2020-01-22,Argentina,ARG,0,Argentina:0
2020-01-22,Armenia,ARM,0,Armenia:0
2020-01-22,Australia,AUS,0,Australia:0
2020-01-22,Austria,AUT,0,Austria:0
2020-01-22,Azerbaijan,AZE,0,Azerbaijan:0
2020-01-22,Bahamas,BHS,0,Bahamas:0
2020-01-22,Bahrain,BHR,0,Bahrain:0
2020-01-22,Bangladesh,BGD,0,Bangladesh:0
2020-01-22,Barbados,BRB,0,Barbados:0
2020-01-22,Belarus,BLR,0,Belarus:0
2020-01-22,Belgium,BEL,0,Belgium:0
2020-01-22,Belize,BLZ,0,Belize:0
2020-01-22,Benin,BEN,0,Benin:0
2020-01-22,Bhutan,BTN,0,Bhutan:0
2020-01-22,Bolivia,BOL,0,Bolivia:0
2020-01-22,Bosnia and Herzegovina,BIH,0,Bosnia and Herzegovina:0
2020-01-22,Botswana,BWA,0,Botswana:0
2020-01-22,Brazil,BRA,0,Brazil:0
2020-01-22,Brunei,BRN,0,Brunei:0
2020-01-22,Bulgaria,BGR,0,Bulgaria:0
2020-01-22,Burkina Faso,BFA,0,Burkina Faso:0
2020-01-22,Burma,MMR,0,Burma:0
2020-01-22,Burundi,BDI,0,Burundi:0
2020-01-22,Cabo Verde,CPV,0,Cabo Verde:0
2020-01-22,Cambodia,KHM,0,Cambodia:0
2020-01-22,Cameroon,CMR,0,Cameroon:0
2020-01-22,Canada,CAN,0,Canada:0
2020-01-22,Central African Republic,CAF,0,Central African Republic:0
2020-01-22,Chad,TCD,0,Chad:0
2020-01-22,Chile,CHL,0,Chile:0
2020-01-22,China,CHN,548,China:548
2020-01-22,Colombia,COL,0,Colombia:0
2020-01-22,Comoros,COM,0,Comoros:0
2020-01-22,Congo (Brazzaville),COG,0,Congo (Brazzaville):0
2020-01-22,Congo (Kinshasa),COD,0,Congo (Kinshasa):0
2020-01-22,Costa Rica,CRI,0,Costa Rica:0
2020-01-22,Cote d'Ivoire,CIV,0,Cote d'Ivoire:0
2020-01-22,Croatia,HRV,0,Croatia:0
2020-01-22,Cuba,CUB,0,Cuba:0
2020-01-22,Cyprus,CYP,0,Cyprus:0
2020-01-22,Czechia,CZE,0,Czechia:0
2020-01-22,Denmark,DNK,0,Denmark:0
2020-01-22,Djibouti,DJI,0,Djibouti:0
2020-01-22,Dominica,DMA,0,Dominica:0
2020-01-22,Dominican Republic,DOM,0,Dominican Republic:0
2020-01-22,Ecuador,ECU,0,Ecuador:0
2020-01-22,Egypt,EGY,0,Egypt:0
2020-01-22,El Salvador,SLV,0,El Salvador:0
2020-01-22,Equatorial Guinea,GNQ,0,Equatorial Guinea:0
2020-01-22,Eritrea,ERI,0,Eritrea:0
2020-01-22,Estonia,EST,0,Estonia:0
2020-01-22,Eswatini,SWZ,0,Eswatini:0
2020-01-22,Ethiopia,ETH,0,Ethiopia:0
2020-01-22,Fiji,FJI,0,Fiji:0
2020-01-22,Finland,FIN,0,Finland:0
2020-01-22,France,FRA,0,France:0
2020-01-22,Gabon,GAB,0,Gabon:0
2020-01-22,Gambia,GMB,0,Gambia:0
2020-01-22,Georgia,GEO,0,Georgia:0
2020-01-22,Germany,DEU,0,Germany:0
2020-01-22,Ghana,GHA,0,Ghana:0
2020-01-22,Greece,GRC,0,Greece:0
2020-01-22,Grenada,GRD,0,Grenada:0
2020-01-22,Guatemala,GTM,0,Guatemala:0
2020-01-22,Guinea,GIN,0,Guinea:0
2020-01-22,Guinea-Bissau,GNB,0,Guinea-Bissau:0
2020-01-22,Guyana,GUY,0,Guyana:0
2020-01-22,Haiti,HTI,0,Haiti:0
2020-01-22,Holy See,VAT,0,Holy See:0
2020-01-22,Honduras,HND,0,Honduras:0
2020-01-22,Hungary,HUN,0,Hungary:0
2020-01-22,Iceland,ISL,0,Iceland:0
2020-01-22,India,IND,0,India:0
2020-01-22,Indonesia,IDN,0,Indonesia:0
2020-01-22,Iran,IRN,0,Iran:0
2020-01-22,Iraq,IRQ,0,Iraq:0
2020-01-22,Ireland,IRL,0,Ireland:0
2020-01-22,Israel,ISR,0,Israel:0
2020-01-22,Italy,ITA,0,Italy:0
2020-01-22,Jamaica,JAM,0,Jamaica:0
2020-01-22,Japan,JPN,2,Japan:2
2020-01-22,Jordan,JOR,0,Jordan:0
2020-01-22,Kazakhstan,KAZ,0,Kazakhstan:0
2020-01-22,Kenya,KEN,0,Kenya:0
2020-01-22,"Korea, South",KOR,1,"Korea, South:1"
2020-01-22,Kosovo,XKS,0,Kosovo:0
2020-01-22,Kuwait,KWT,0,Kuwait:0
2020-01-22,Kyrgyzstan,KGZ,0,Kyrgyzstan:0
2020-01-22,Laos,LAO,0,Laos:0
2020-01-22,Latvia,LVA,0,Latvia:0
2020-01-22,Lebanon,LBN,0,Lebanon:0
2020-01-22,Lesotho,LSO,0,Lesotho:0
2020-01-22,Liberia,LBR,0,Liberia:0
2020-01-22,Libya,LBY,0,Libya:0
2020-01-22,Liechtenstein,LIE,0,Liechtenstein:0
2020-01-22,Lithuania,LTU,0,Lithuania:0
2020-01-22,Luxembourg,LUX,0,Luxembourg:0
2020-01-22,Madagascar,MDG,0,Madagascar:0
2020-01-22,Malawi,MWI,0,Malawi:0
2020-01-22,Malaysia,MYS,0,Malaysia:0
2020-01-22,Maldives,MDV,0,Maldives:0
2020-01-22,Mali,MLI,0,Mali:0
2020-01-22,Malta,MLT,0,Malta:0
2020-01-22,Mauritania,MRT,0,Mauritania:0
2020-01-22,Mauritius,MUS,0,Mauritius:0
2020-01-22,Mexico,MEX,0,Mexico:0
2020-01-22,Moldova,MDA,0,Moldova:0
2020-01-22,Monaco,MCO,0,Monaco:0
2020-01-22,Mongolia,MNG,0,Mongolia:0
2020-01-22,Montenegro,MNE,0,Montenegro:0
2020-01-22,Morocco,MAR,0,Morocco:0
2020-01-22,Mozambique,MOZ,0,Mozambique:0
2020-01-22,Namibia,NAM,0,Namibia:0
2020-01-22,Nepal,NPL,0,Nepal:0
2020-01-22,Netherlands,NLD,0,Netherlands:0
2020-01-22,New Zealand,NZL,0,New Zealand:0
2020-01-22,Nicaragua,NIC,0,Nicaragua:0
2020-01-22,Niger,NER,0,Niger:0
2020-01-22,Nigeria,NGA,0,Nigeria:0
2020-01-22,North Macedonia,MKD,0,North Macedonia:0
2020-01-22,Norway,NOR,0,Norway:0
2020-01-22,Oman,OMN,0,Oman:0
2020-01-22,Pakistan,PAK,0,Pakistan:0
2020-01-22,Panama,PAN,0,Panama:0
2020-01-22,Papua New Guinea,PNG,0,Papua New Guinea:0
2020-01-22,Paraguay,PRY,0,Paraguay:0
2020-01-22,Peru,PER,0,Peru:0
2020-01-22,Philippines,PHL,0,Philippines:0
2020-01-22,Poland,POL,0,Poland:0
2020-01-22,Portugal,PRT,0,Portugal:0
2020-01-22,Qatar,QAT,0,Qatar:0
2020-01-22,Romania,ROU,0,Romania:0
2020-01-22,Russia,RUS,0,Russia:0
2020-01-22,Rwanda,RWA,0,Rwanda:0
2020-01-22,Saint Kitts and Nevis,KNA,0,Saint Kitts and Nevis:0
2020-01-22,Saint Lucia,LCA,0,Saint Lucia:0
2020-01-22,Saint Vincent and the Grenadines,VCT,0,Saint Vincent and the Grenadines:0
2020-01-22,San Marino,SMR,0,San Marino:0
2020-01-22,Sao Tome and Principe,STP,0,Sao Tome and Principe:0
2020-01-22,Saudi Arabia,SAU,0,Saudi Arabia:0
2020-01-22,Senegal,SEN,0,Senegal:0
2020-01-22,Serbia,SRB,0,Serbia:0
2020-01-22,Seychelles,SYC,0,Seychelles:0
2020-01-22,Sierra Leone,SLE,0,Sierra Leone:0
2020-01-22,Singapore,SGP,0,Singapore:0
2020-01-22,Slovakia,SVK,0,Slovakia:0
2020-01-22,Slovenia,SVN,0,Slovenia:0
2020-01-22,Somalia,SOM,0,Somalia:0
2020-01-22,South Africa,ZAF,0,South Africa:0
2020-01-22,South Sudan,SSD,0,South Sudan:0
2020-01-22,Spain,ESP,0,Spain:0
2020-01-22,Sri Lanka,LKA,0,Sri Lanka:0
2020-01-22,Sudan,SDN,0,Sudan:0
2020-01-22,Suriname,SUR,0,Suriname:0
2020-01-22,Sweden,SWE,0,Sweden:0
2020-01-22,Switzerland,CHE,0,Switzerland:0
2020-01-22,Syria,SYR,0,Syria:0
2020-01-22,Taiwan*,TWN,1,Taiwan*:1
2020-01-22,Tajikistan,TJK,0,Tajikistan:0
2020-01-22,Tanzania,TZA,0,Tanzania:0
2020-01-22,Thailand,THA,2,Thailand:2
2020-01-22,Timor-Leste,TLS,0,Timor-Leste:0
2020-01-22,Togo,TGO,0,Togo:0
2020-01-22,Trinidad and Tobago,TTO,0,Trinidad and Tobago:0
2020-01-22,Tunisia,TUN,0,Tunisia:0
2020-01-22,Turkey,TUR,0,Turkey:0
2020-01-22,US,USA,1,US:1
2020-01-22,Uganda,UGA,0,Uganda:0
2020-01-22,Ukraine,UKR,0,Ukraine:0
2020-01-22,United Arab Emirates,ARE,0,United Arab Emirates:0
2020-01-22,United Kingdom,GBR,0,United Kingdom:0
2020-01-22,Uruguay,URY,0,Uruguay:0
2020-01-22,Uzbekistan,UZB,0,Uzbekistan:0
2020-01-22,Venezuela,VEN,0,Venezuela:0
2020-01-22,Vietnam,VNM,0,Vietnam:0
2020-01-22,West Bank and Gaza,PSE,0,West Bank and Gaza:0
2020-01-22,Western Sahara,ESH,0,Western Sahara:0
2020-01-22,Yemen,YEM,0,Yemen:0
2020-01-22,Zambia,ZMB,0,Zambia:0
2020-01-22,Zimbabwe,ZWE,0,Zimbabwe:0
2020-01-23,Afghanistan,AFG,0,Afghanistan:0
2020-01-23,Albania,ALB,0,Albania:0
2020-01-23,Algeria,DZA,0,Algeria:0
2020-01-23,Andorra,AND,0,Andorra:0
2020-01-23,Angola,AGO,0,Angola:0
2020-01-23,Antigua and Barbuda,ATG,0,Antigua and Barbuda:0
2020-01-23,Argentina,ARG,0,Argentina:0
2020-01-23,Armenia,ARM,0,Armenia:0
2020-01-23,Australia,AUS,0,Australia:0
2020-01-23,Austria,AUT,0,Austria:0
2020-01-23,Azerbaijan,AZE,0,Azerbaijan:0
2020-01-23,Bahamas,BHS,0,Bahamas:0
2020-01-23,Bahrain,BHR,0,Bahrain:0
2020-01-23,Bangladesh,BGD,0,Bangladesh:0
2020-01-23,Barbados,BRB,0,Barbados:0
2020-01-23,Belarus,BLR,0,Belarus:0
2020-01-23,Belgium,BEL,0,Belgium:0
2020-01-23,Belize,BLZ,0,Belize:0
2020-01-23,Benin,BEN,0,Benin:0
2020-01-23,Bhutan,BTN,0,Bhutan:0
2020-01-23,Bolivia,BOL,0,Bolivia:0
2020-01-23,Bosnia and Herzegovina,BIH,0,Bosnia and Herzegovina:0
2020-01-23,Botswana,BWA,0,Botswana:0
2020-01-23,Brazil,BRA,0,Brazil:0
2020-01-23,Brunei,BRN,0,Brunei:0
2020-01-23,Bulgaria,BGR,0,Bulgaria:0
2020-01-23,Burkina Faso,BFA,0,Burkina Faso:0
2020-01-23,Burma,MMR,0,Burma:0
2020-01-23,Burundi,BDI,0,Burundi:0
2020-01-23,Cabo Verde,CPV,0,Cabo Verde:0
2020-01-23,Cambodia,KHM,0,Cambodia:0
2020-01-23,Cameroon,CMR,0,Cameroon:0
2020-01-23,Canada,CAN,0,Canada:0
2020-01-23,Central African Republic,CAF,0,Central African Republic:0
2020-01-23,Chad,TCD,0,Chad:0
2020-01-23,Chile,CHL,0,Chile:0
2020-01-23,China,CHN,643,China:643
2020-01-23,Colombia,COL,0,Colombia:0
2020-01-23,Comoros,COM,0,Comoros:0
2020-01-23,Congo (Brazzaville),COG,0,Congo (Brazzaville):0
2020-01-23,Congo (Kinshasa),COD,0,Congo (Kinshasa):0
2020-01-23,Costa Rica,CRI,0,Costa Rica:0
2020-01-23,Cote d'Ivoire,CIV,0,Cote d'Ivoire:0
2020-01-23,Croatia,HRV,0,Croatia:0
2020-01-23,Cuba,CUB,0,Cuba:0
2020-01-23,Cyprus,CYP,0,Cyprus:0
2020-01-23,Czechia,CZE,0,Czechia:0
2020-01-23,Denmark,DNK,0,Denmark:0
2020-01-23,Djibouti,DJI,0,Djibouti:0
2020-01-23,Dominica,DMA,0,Dominica:0
2020-01-23,Dominican Republic,DOM,0,Dominican Republic:0
2020-01-23,Ecuador,ECU,0,Ecuador:0
2020-01-23,Egypt,EGY,0,Egypt:0
2020-01-23,El Salvador,SLV,0,El Salvador:0
2020-01-23,Equatorial Guinea,GNQ,0,Equatorial Guinea:0
2020-01-23,Eritrea,ERI,0,Eritrea:0
2020-01-23,Estonia,EST,0,Estonia:0
2020-01-23,Eswatini,SWZ,0,Eswatini:0
2020-01-23,Ethiopia,ETH,0,Ethiopia:0
2020-01-23,Fiji,FJI,0,Fiji:0
2020-01-23,Finland,FIN,0,Finland:0
2020-01-23,France,FRA,0,France:0
2020-01-23,Gabon,GAB,0,Gabon:0
2020-01-23,Gambia,GMB,0,Gambia:0
2020-01-23,Georgia,GEO,0,Georgia:0
2020-01-23,Germany,DEU,0,Germany:0
2020-01-23,Ghana,GHA,0,Ghana:0
2020-01-23,Greece,GRC,0,Greece:0
2020-01-23,Grenada,GRD,0,Grenada:0
2020-01-23,Guatemala,GTM,0,Guatemala:0
2020-01-23,Guinea,GIN,0,Guinea:0
2020-01-23,Guinea-Bissau,GNB,0,Guinea-Bissau:0
2020-01-23,Guyana,GUY,0,Guyana:0
2020-01-23,Haiti,HTI,0,Haiti:0
2020-01-23,Holy See,VAT,0,Holy See:0
2020-01-23,Honduras,HND,0,Honduras:0
2020-01-23,Hungary,HUN,0,Hungary:0
2020-01-23,Iceland,ISL,0,Iceland:0
2020-01-23,India,IND,0,India:0
2020-01-23,Indonesia,IDN,0,Indonesia:0
2020-01-23,Iran,IRN,0,Iran:0
2020-01-23,Iraq,IRQ,0,Iraq:0
2020-01-23,Ireland,IRL,0,Ireland:0
2020-01-23,Israel,ISR,0,Israel:0
2020-01-23,Italy,ITA,0,Italy:0
2020-01-23,Jamaica,JAM,0,Jamaica:0
2020-01-23,Japan,JPN,2,Japan:2
2020-01-23,Jordan,JOR,0,Jordan:0
2020-01-23,Kazakhstan,KAZ,0,Kazakhstan:0
2020-01-23,Kenya,KEN,0,Kenya:0
2020-01-23,"Korea, South",KOR,1,"Korea, South:1"
2020-01-23,Kosovo,XKS,0,Kosovo:0
2020-01-23,Kuwait,KWT,0,Kuwait:0
2020-01-23,Kyrgyzstan,KGZ,0,Kyrgyzstan:0
2020-01-23,Laos,LAO,0,Laos:0
2020-01-23,Latvia,LVA,0,Latvia:0
2020-01-23,Lebanon,LBN,0,Lebanon:0
2020-01-23,Lesotho,LSO,0,Lesotho:0
2020-01-23,Liberia,LBR,0,Liberia:0
2020-01-23,Libya,LBY,0,Libya:0
2020-01-23,Liechtenstein,LIE,0,Liechtenstein:0
2020-01-23,Lithuania,LTU,0,Lithuania:0
2020-01-23,Luxembourg,LUX,0,Luxembourg:0
2020-01-23,Madagascar,MDG,0,Madagascar:0
2020-01-23,Malawi,MWI,0,Malawi:0
2020-01-23,Malaysia,MYS,0,Malaysia:0
2020-01-23,Maldives,MDV,0,Maldives:0
2020-01-23,Mali,MLI,0,Mali:0
2020-01-23,Malta,MLT,0,Malta:0
2020-01-23,Mauritania,MRT,0,Mauritania:0
2020-01-23,Mauritius,MUS,0,Mauritius:0
2020-01-23,Mexico,MEX,0,Mexico:0
2020-01-23,Moldova,MDA,0,Moldova:0
2020-01-23,Monaco,MCO,0,Monaco:0
2020-01-23,Mongolia,MNG,0,Mongolia:0
2020-01-23,Montenegro,MNE,0,Montenegro:0
2020-01-23,Morocco,MAR,0,Morocco:0
2020-01-23,Mozambique,MOZ,0,Mozambique:0
2020-01-23,Namibia,NAM,0,Namibia:0
2020-01-23,Nepal,NPL,0,Nepal:0
2020-01-23,Netherlands,NLD,0,Netherlands:0
2020-01-23,New Zealand,NZL,0,New Zealand:0
2020-01-23,Nicaragua,NIC,0,Nicaragua:0
2020-01-23,Niger,NER,0,Niger:0
2020-01-23,Nigeria,NGA,0,Nigeria:0
2020-01-23,North Macedonia,MKD,0,North Macedonia:0
2020-01-23,Norway,NOR,0,Norway:0
2020-01-23,Oman,OMN,0,Oman:0
2020-01-23,Pakistan,PAK,0,Pakistan:0
2020-01-23,Panama,PAN,0,Panama:0
2020-01-23,Papua New Guinea,PNG,0,Papua New Guinea:0
2020-01-23,Paraguay,PRY,0,Paraguay:0
2020-01-23,Peru,PER,0,Peru:0
2020-01-23,Philippines,PHL,0,Philippines:0
2020-01-23,Poland,POL,0,Poland:0
2020-01-23,Portugal,PRT,0,Portugal:0
2020-01-23,Qatar,QAT,0,Qatar:0
2020-01-23,Romania,ROU,0,Romania:0
2020-01-23,Russia,RUS,0,Russia:0
2020-01-23,Rwanda,RWA,0,Rwanda:0
2020-01-23,Saint Kitts and Nevis,KNA,0,Saint Kitts and Nevis:0
2020-01-23,Saint Lucia,LCA,0,Saint Lucia:0
2020-01-23,Saint Vincent and the Grenadines,VCT,0,Saint Vincent and the Grenadines:0
2020-01-23,San Marino,SMR,0,San Marino:0
2020-01-23,Sao Tome and Principe,STP,0,Sao Tome and Principe:0
2020-01-23,Saudi Arabia,SAU,0,Saudi Arabia:0
2020-01-23,Senegal,SEN,0,Senegal:0
2020-01-23,Serbia,SRB,0,Serbia:0
2020-01-23,Seychelles,SYC,0,Seychelles:0
2020-01-23,Sierra Leone,SLE,0,Sierra Leone:0
2020-01-23,Singapore,SGP,1,Singapore:1
2020-01-23,Slovakia,SVK,0,Slovakia:0
2020-01-23,Slovenia,SVN,0,Slovenia:0
2020-01-23,Somalia,SOM,0,Somalia:0
2020-01-23,South Africa,ZAF,0,South Africa:0
2020-01-23,South Sudan,SSD,0,South Sudan:0
2020-01-23,Spain,ESP,0,Spain:0
2020-01-23,Sri Lanka,LKA,0,Sri Lanka:0
2020-01-23,Sudan,SDN,0,Sudan:0
2020-01-23,Suriname,SUR,0,Suriname:0
2020-01-23,Sweden,SWE,0,Sweden:0
2020-01-23,Switzerland,CHE,0,Switzerland:0
2020-01-23,Syria,SYR,0,Syria:0
2020-01-23,Taiwan*,TWN,1,Taiwan*:1
2020-01-23,Tajikistan,TJK,0,Tajikistan:0
2020-01-23,Tanzania,TZA,0,Tanzania:0
2020-01-23,Thailand,THA,3,Thailand:3
2020-01-23,Timor-Leste,TLS,0,Timor-Leste:0
2020-01-23,Togo,TGO,0,Togo:0
2020-01-23,Trinidad and Tobago,TTO,0,Trinidad and Tobago:0
2020-01-23,Tunisia,TUN,0,Tunisia:0
2020-01-23,Turkey,TUR,0,Turkey:0
2020-01-23,US,USA,1,US:1
2020-01-23,Uganda,UGA,0,Uganda:0
2020-01-23,Ukraine,UKR,0,Ukraine:0
2020-01-23,United Arab Emirates,ARE,0,United Arab Emirates:0
2020-01-23,United Kingdom,GBR,0,United Kingdom:0
2020-01-23,Uruguay,URY,0,Uruguay:0
2020-01-23,Uzbekistan,UZB,0,Uzbekistan:0
2020-01-23,Venezuela,VEN,0,Venezuela:0
2020-01-23,Vietnam,VNM,2,Vietnam:2
2020-01-23,West Bank and Gaza,PSE,0,West Bank and Gaza:0
2020-01-23,Western Sahara,ESH,0,Western Sahara:0
2020-01-23,Yemen,YEM,0,Yemen:0
2020-01-23,Zambia,ZMB,0,Zambia:0
2020-01-23,Zimbabwe,ZWE,0,Zimbabwe:0
2020-01-24,Afghanistan,AFG,0,Afghanistan:0
2020-01-24,Albania,ALB,0,Albania:0
2020-01-24,Algeria,DZA,0,Algeria:0
2020-01-24,Andorra,AND,0,Andorra:0
2020-01-24,Angola,AGO,0,Angola:0
2020-01-24,Antigua and Barbuda,ATG,0,Antigua and Barbuda:0
2020-01-24,Argentina,ARG,0,Argentina:0
2020-01-24,Armenia,ARM,0,Armenia:0
2020-01-24,Australia,AUS,0,Australia:0
2020-01-24,Austria,AUT,0,Austria:0
2020-01-24,Azerbaijan,AZE,0,Azerbaijan:0
2020-01-24,Bahamas,BHS,0,Bahamas:0
2020-01-24,Bahrain,BHR,0,Bahrain:0
2020-01-24,Bangladesh,BGD,0,Bangladesh:0
2020-01-24,Barbados,BRB,0,Barbados:0
2020-01-24,Belarus,BLR,0,Belarus:0
2020-01-24,Belgium,BEL,0,Belgium:0
2020-01-24,Belize,BLZ,0,Belize:0
2020-01-24,Benin,BEN,0,Benin:0
2020-01-24,Bhutan,BTN,0,Bhutan:0
2020-01-24,Bolivia,BOL,0,Bolivia:0
2020-01-24,Bosnia and Herzegovina,BIH,0,Bosnia and Herzegovina:0
2020-01-24,Botswana,BWA,0,Botswana:0
2020-01-24,Brazil,BRA,0,Brazil:0
2020-01-24,Brunei,BRN,0,Brunei:0
2020-01-24,Bulgaria,BGR,0,Bulgaria:0
2020-01-24,Burkina Faso,BFA,0,Burkina Faso:0
2020-01-24,Burma,MMR,0,Burma:0
2020-01-24,Burundi,BDI,0,Burundi:0
2020-01-24,Cabo Verde,CPV,0,Cabo Verde:0
2020-01-24,Cambodia,KHM,0,Cambodia:0
2020-01-24,Cameroon,CMR,0,Cameroon:0
2020-01-24,Canada,CAN,0,Canada:0
2020-01-24,Central African Republic,CAF,0,Central African Republic:0
2020-01-24,Chad,TCD,0,Chad:0
2020-01-24,Chile,CHL,0,Chile:0
2020-01-24,China,CHN,920,China:920
2020-01-24,Colombia,COL,0,Colombia:0
2020-01-24,Comoros,COM,0,Comoros:0
2020-01-24,Congo (Brazzaville),COG,0,Congo (Brazzaville):0
2020-01-24,Congo (Kinshasa),COD,0,Congo (Kinshasa):0
2020-01-24,Costa Rica,CRI,0,Costa Rica:0
2020-01-24,Cote d'Ivoire,CIV,0,Cote d'Ivoire:0
2020-01-24,Croatia,HRV,0,Croatia:0
2020-01-24,Cuba,CUB,0,Cuba:0
2020-01-24,Cyprus,CYP,0,Cyprus:0
2020-01-24,Czechia,CZE,0,Czechia:0
2020-01-24,Denmark,DNK,0,Denmark:0
2020-01-24,Djibouti,DJI,0,Djibouti:0
2020-01-24,Dominica,DMA,0,Dominica:0
2020-01-24,Dominican Republic,DOM,0,Dominican Republic:0
2020-01-24,Ecuador,ECU,0,Ecuador:0
2020-01-24,Egypt,EGY,0,Egypt:0
2020-01-24,El Salvador,SLV,0,El Salvador:0
2020-01-24,Equatorial Guinea,GNQ,0,Equatorial Guinea:0
2020-01-24,Eritrea,ERI,0,Eritrea:0
2020-01-24,Estonia,EST,0,Estonia:0
2020-01-24,Eswatini,SWZ,0,Eswatini:0
2020-01-24,Ethiopia,ETH,0,Ethiopia:0
2020-01-24,Fiji,FJI,0,Fiji:0
2020-01-24,Finland,FIN,0,Finland:0
2020-01-24,France,FRA,2,France:2
2020-01-24,Gabon,GAB,0,Gabon:0
2020-01-24,Gambia,GMB,0,Gambia:0
2020-01-24,Georgia,GEO,0,Georgia:0
2020-01-24,Germany,DEU,0,Germany:0
2020-01-24,Ghana,GHA,0,Ghana:0
2020-01-24,Greece,GRC,0,Greece:0
2020-01-24,Grenada,GRD,0,Grenada:0
2020-01-24,Guatemala,GTM,0,Guatemala:0
2020-01-24,Guinea,GIN,0,Guinea:0
2020-01-24,Guinea-Bissau,GNB,0,Guinea-Bissau:0
2020-01-24,Guyana,GUY,0,Guyana:0
2020-01-24,Haiti,HTI,0,Haiti:0
2020-01-24,Holy See,VAT,0,Holy See:0
2020-01-24,Honduras,HND,0,Honduras:0
2020-01-24,Hungary,HUN,0,Hungary:0
2020-01-24,Iceland,ISL,0,Iceland:0
2020-01-24,India,IND,0,India:0
2020-01-24,Indonesia,IDN,0,Indonesia:0
2020-01-24,Iran,IRN,0,Iran:0
2020-01-24,Iraq,IRQ,0,Iraq:0
2020-01-24,Ireland,IRL,0,Ireland:0
2020-01-24,Israel,ISR,0,Israel:0
2020-01-24,Italy,ITA,0,Italy:0
2020-01-24,Jamaica,JAM,0,Jamaica:0
2020-01-24,Japan,JPN,2,Japan:2
2020-01-24,Jordan,JOR,0,Jordan:0
2020-01-24,Kazakhstan,KAZ,0,Kazakhstan:0
2020-01-24,Kenya,KEN,0,Kenya:0
2020-01-24,"Korea, South",KOR,2,"Korea, South:2"
2020-01-24,Kosovo,XKS,0,Kosovo:0
2020-01-24,Kuwait,KWT,0,Kuwait:0
2020-01-24,Kyrgyzstan,KGZ,0,Kyrgyzstan:0
2020-01-24,Laos,LAO,0,Laos:0
2020-01-24,Latvia,LVA,0,Latvia:0
2020-01-24,Lebanon,LBN,0,Lebanon:0
2020-01-24,Lesotho,LSO,0,Lesotho:0
2020-01-24,Liberia,LBR,0,Liberia:0
2020-01-24,Libya,LBY,0,Libya:0
2020-01-24,Liechtenstein,LIE,0,Liechtenstein:0
2020-01-24,Lithuania,LTU,0,Lithuania:0
2020-01-24,Luxembourg,LUX,0,Luxembourg:0
2020-01-24,Madagascar,MDG,0,Madagascar:0
2020-01-24,Malawi,MWI,0,Malawi:0
2020-01-24,Malaysia,MYS,0,Malaysia:0
2020-01-24,Maldives,MDV,0,Maldives:0
2020-01-24,Mali,MLI,0,Mali:0
2020-01-24,Malta,MLT,0,Malta:0
2020-01-24,Mauritania,MRT,0,Mauritania:0
2020-01-24,Mauritius,MUS,0,Mauritius:0
2020-01-24,Mexico,MEX,0,Mexico:0
2020-01-24,Moldova,MDA,0,Moldova:0
2020-01-24,Monaco,MCO,0,Monaco:0
2020-01-24,Mongolia,MNG,0,Mongolia:0
2020-01-24,Montenegro,MNE,0,Montenegro:0
2020-01-24,Morocco,MAR,0,Morocco:0
2020-01-24,Mozambique,MOZ,0,Mozambique:0
2020-01-24,Namibia,NAM,0,Namibia:0
2020-01-24,Nepal,NPL,0,Nepal:0
2020-01-24,Netherlands,NLD,0,Netherlands:0
2020-01-24,New Zealand,NZL,0,New Zealand:0
2020-01-24,Nicaragua,NIC,0,Nicaragua:0
2020-01-24,Niger,NER,0,Niger:0
2020-01-24,Nigeria,NGA,0,Nigeria:0
2020-01-24,North Macedonia,MKD,0,North Macedonia:0
2020-01-24,Norway,NOR,0,Norway:0
2020-01-24,Oman,OMN,0,Oman:0
2020-01-24,Pakistan,PAK,0,Pakistan:0
2020-01-24,Panama,PAN,0,Panama:0
2020-01-24,Papua New Guinea,PNG,0,Papua New Guinea:0
2020-01-24,Paraguay,PRY,0,Paraguay:0
2020-01-24,Peru,PER,0,Peru:0
2020-01-24,Philippines,PHL,0,Philippines:0
2020-01-24,Poland,POL,0,Poland:0
2020-01-24,Portugal,PRT,0,Portugal:0
2020-01-24,Qatar,QAT,0,Qatar:0
2020-01-24,Romania,ROU,0,Romania:0
2020-01-24,Russia,RUS,0,Russia:0
2020-01-24,Rwanda,RWA,0,Rwanda:0
2020-01-24,Saint Kitts and Nevis,KNA,0,Saint Kitts and Nevis:0
2020-01-24,Saint Lucia,LCA,0,Saint Lucia:0
2020-01-24,Saint Vincent and the Grenadines,VCT,0,Saint Vincent and the Grenadines:0
2020-01-24,San Marino,SMR,0,San Marino:0
2020-01-24,Sao Tome and Principe,STP,0,Sao Tome and Principe:0
2020-01-24,Saudi Arabia,SAU,0,Saudi Arabia:0
2020-01-24,Senegal,SEN,0,Senegal:0
2020-01-24,Serbia,SRB,0,Serbia:0
2020-01-24,Seychelles,SYC,0,Seychelles:0
2020-01-24,Sierra Leone,SLE,0,Sierra Leone:0
2020-01-24,Singapore,SGP,3,Singapore:3
2020-01-24,Slovakia,SVK,0,Slovakia:0
